model,accuracy,precision,recall,f1_score
Random Forest,0.8063333333333333,0.8057372389720995,0.8063333333333333,0.8059830787327509
KNN (k=7),0.7723333333333333,0.7710991472518814,0.7723333333333333,0.7714797397907289
SVM (RBF),0.8103333333333333,0.8096833954891145,0.8103333333333333,0.8098696781046698
