model,accuracy,precision,recall,f1_score
Random Forest,0.811,0.8109682355430688,0.811,0.8108480170055301
KNN (k=7),0.659,0.6555786184195759,0.659,0.6563727146948196
SVM (RBF),0.8063333333333333,0.8053084627793656,0.8063333333333333,0.8055756063060908
