model,accuracy,precision,recall,f1_score
Random Forest,0.8106666666666666,0.809899571215496,0.8106666666666666,0.8099218656412175
KNN (k=7),0.6126666666666667,0.6112038556197759,0.6126666666666667,0.6117127071153812
SVM (RBF),0.8,0.798528593639215,0.8,0.7989663683662505
