model,accuracy,precision,recall,f1_score
Random Forest,0.8126666666666666,0.812466270048602,0.8126666666666666,0.8125542393077967
KNN (k=7),0.6963333333333334,0.6933899979667388,0.6963333333333334,0.6939445974186338
SVM (RBF),0.8026666666666666,0.8019714914103856,0.8026666666666666,0.8019697729516837
