model,accuracy,precision,recall,f1_score
Random Forest,0.7603333333333333,0.7578089936607174,0.7603333333333333,0.7579868809911309
KNN (k=7),0.605,0.6028510514814021,0.605,0.6037477414319395
SVM (RBF),0.7586666666666667,0.7583832802787634,0.7586666666666667,0.7579868022428844
