model,accuracy,precision,recall,f1_score
Random Forest,0.8126666666666666,0.8111682152544661,0.8126666666666666,0.8117632849305384
KNN (k=7),0.812,0.8107473454400346,0.812,0.8112263095230832
SVM (RBF),0.826,0.8249670865147422,0.826,0.8250979769010155
